DrugBankID	Targets	Fullname
DB02201	4611, 6954	Malonate Ion
DB02202		1,3-Butanediol
DB02203		Acetone Cyanohydrin
DB02205	2799, 794	6-(1,1-Dimethylallyl)-2-(1-Hydroxy-1-Methylethyl)-2,3-Dihydro-7h-Furo[3,2-G]Chromen-7-One
DB02207	291, 7	7-Nitroindazole
DB02209	2803, 449	Pyridoxine-5'-Phosphate
DB02210	4615, 1758, 871, 2300, 2751, 6500	Hexane-1,6-Diol
DB02211	3939	N-Methyl-N-Propargyl-1(R)-Aminoindan
DB02212	7006, 6968, 4620, 4600, 4553, 4353, 87, 3010, 2910, 2885, 6040, 2757, 5294, 2647, 2727, 2428, 2149, 2755, 2717, 6395	Pyrophosphate 2-
DB02213	2693, 2723	Metanitrophenyl-Alpha-D-Galactoside
DB02214	2642	6,7-Dioxo-5h-8-Ribitylaminolumazine
DB02215	6374	Furoyl-Leucine
DB02216	1243, 1999	S-Methylcysteine
DB02217	2753	Dpb-T
DB02218	4513, 4622, 6967	N-[4-Hydroxymethyl-Cyclohexan-6-Yl-1,2,3-Triol]-4,6-Dideoxy-4-Aminoglucopyranoside
DB02219		3-Cyclohexyl-1-Propylsulfonic Acid
DB02220	357	Al7089a
DB02221	357	4-(Aminosulfonyl)-N-[(2,4,6-Trifluorophenyl)Methyl]-Benzamide
DB02222	277	2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine
DB02223	2626	Ly231514 Tetra Glu
DB02224		(2s,3s)-Trans-Dihydroquercetin
DB02225	2841	1,2-Di-N-Pentanoyl-Sn-Glycero-3-Dithiophosphocholine
DB02226	474	3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-4-Yl]Hexyl]-Phenanthridinium
DB02227	4416	4,5-Dihydroxy-Tetrahydro-Pyran-2-Carboxylic Acid
DB02228	2592	2-Fluoro-2-Deoxy-Beta-D-Galactopyranose
DB02229	2800	5'-O-[(L-Methionyl)-Sulphamoyl]Adenosine
DB02230	277	Immucillin-G
DB02232	2658, 2392	1,2-Dihydroxybenzene
DB02233	2791	6-Hydroxy-D-Norleucine
DB02234	2701, 7, 291	Ethylisothiourea
DB02235	4623, 5800, 3249	Methionine Sulfoxide
DB02236	2817, 2689, 1043	Glycinamide Ribonucleotide
DB02237	2728, 2606	Maltotetraose
DB02238	4584	4-(Methylsulfanyl)-2-Oxobutanoic Acid
DB02239	56	Laevulinic Acid
DB02240	2823	N-{(1s)-4-[Bis(2-Chloroethyl)Amino]-1-Methylbutyl}-N-(6-Chloro-2-Methoxy-9-Acridinyl)Amine
DB02241		8-Benzyl-2-Hydroperoxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One
DB02242	2537	Cyclohexane Propionic Acid
DB02243	2735	4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide
DB02245		7-Deazaguanine
DB02247	2478	Hydrolyzed Cephalothin
DB02248		3-Methyl-5-Sulfo-Pyrrolidine-2-Carboxylic Acid
DB02249	517	2-Ethoxyethanol
DB02250	6252	Cu-Bicyclam
DB02251	4278, 4626, 6781	O-Succinylbenzoate
DB02252	2440	Iodophenyl
DB02253	4627	(1r)-4-[(1e,3e,5e,7z,9e,11z,13e,15e)-17-Hydroxy-3,7,12,16-Tetramethylheptadeca-1,3,5,7,9,11,13,15-Octaen-1-Yl]-3,5,5-Trimethylcyclohex-3-En-1-Ol
DB02254	2428	Trifluoro-thiamin phosphate
DB02255	2489, 6374, 6607	GM6001
DB02256	2257, 2626	2'-Deoxyuridine
DB02257	2677	N-Bromoacetyl-Aminoethyl Phosphate
DB02258	162	SR11254
DB02259	687	3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid (4-Sulfamoyl-Phenyl)-Amide
DB02260	3674, 56	4-Oxosebacic Acid
DB02261	2616	Platelet Activating Factor
DB02262	3680, 2794, 424, 2775, 2646	Orotic Acid
DB02263	4454, 4628, 3736	Glyceraldehyde-3-Phosphate
DB02264	760, 1943, 2805, 2654	O2-Sulfo-Glucuronic Acid
DB02265	2570	Ethyl-Trimethyl-Silane
DB02266	290, 20, 650, 146	Flufenamic Acid
DB02267	577, 2680	Argininosuccinate
DB02268	2676	4-(Acetylamino)-3-Amino Benzoic Acid
DB02269	3176	[4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium
DB02270	2756, 6553, 6554	Dimethylallyl S-Thiolodiphosphate
DB02271	6282	S-(2-Oxo)Pentadecylcoa
DB02272	56	Porphobilinogen
DB02273		2,6-Dimethyl-7-Octen-2-Ol
DB02274	2758	7-Keto-8-Aminopelargonic Acid
DB02275		[2-Aminomethyl-5-Oxo-4-(4-Oxo-Cyclohexa-2,5-Dienylmethyl)-4,5-Dihydro-Imidazol-1-Yl] -Acetaldehyde
DB02276	2688	(S)-2-(Phosphonoxy)Caproyl-L-Leucyl-P-Nitroanilide
DB02277	1540	1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea
DB02278	2710	7,8-Dihydro-7,7-Dimethyl-6-Hydroxypterin
DB02279	6268	Benzoylformic Acid
DB02280	2357, 2726	(R)-Mandelic Acid
DB02281	3679, 1958	Formycin
DB02282	2653, 1958	5'-Deoxy-5'-Methylthioadenosine
DB02283	2784	2-Phenylamino-Ethanesulfonic Acid
DB02285	95	Protoporphyrin Ix
DB02286		2-Amino-3-(4-Amino-1h-Indol-3-Yl)Propanoic Acid
DB02287	3176	2-(2-Hydroxy-Phenyl)-3h-Benzoimidazole-5-Carboxamidine
DB02288	3176	CRA_9334
DB02289	2713	2-Aminopropanedioic Acid
DB02290	2333	3-{2,6,8-Trioxo-9-[(2s,3s,4r)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Propyl Dihydrogen Phosphate
DB02292	357	6-Oxo-8,9,10,11-Tetrahydro-7h-Cyclohepta[C][1]Benzopyran-3-O-Sulfamate
DB02293		2,3-Di-O-Phytanly-3-Sn-Glycero-1-Phosphoryl-3'-Sn-Glycerol-1'-Phosphate
DB02294	2592	(5r,6s,7s,8s)-5-Hydroxymethyl-6,7,8-Trihydroxy-Tetrazolo[1,5-a]Piperidine
DB02295		N-[3-(Dimethylamino)Propyl]-2-({[4-({[4-(Formylamino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-5-Isopropyl-1,3-Thiazole-4-Carboxamide
DB02296	298	1-Hydroxy-3-Methylbutane
DB02297	2240	2-Amino-6-Chloropyrazine
DB02298		5-Hydroxyamino-3-Methyl-Pyrrolidine-2-Carboxylic Acid
DB02299	7012	Arginineamide
DB02300	856	Calcipotriol
DB02301	2626, 2717, 2729	5,10-Methylene-6-Hydrofolic Acid
DB02302	2281	N3, N4-Dimethylarginine
DB02303	1302	(5s)-5-Iododihydro-2,4(1h,3h)-Pyrimidinedione
DB02304		Prostaglandin B2
DB02305	2581	4,5-Dehydro-D-Glucuronic Acid
DB02306	1219	Palmitoyl-Linoleoyl Phosphatidylcholine
DB02307	2781	N-(1-Carboxy-3-Phenylpropyl)Phenylalanyl-Alpha-Asparagine
DB02308	2886	4-(1,3,2-Dioxaborolan-2-Yloxy)Butan-1-Aminium
DB02309	2287, 87	5--Monophosphate-9-Beta-D-Ribofuranosyl Xanthine
DB02310	2795	3,5,6,8-Tetramethyl-N-Methyl Phenanthrolinium
DB02311	768	Methyl Methylsulfinylmethyl Sulfide
DB02312	2619	Beta-Galactose-6-Phosphate
DB02313	2719	4-{2-(4-Fluoro-Benzyl)-6-Methyl-5-[(5-Methyl-Isoxazole-3-Carbonyl)-Amino]-4-Oxo-Heptanoylamino}-5-(2-Oxo-Pyrrolidin-3-Yl)-Pentanoic Acid Ethyl Ester
DB02314	2801, 2317	Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine-D-Glutamate
DB02315	3806, 7141, 5849	Cyclic Guanosine Monophosphate
DB02316	615	1-(5-Carboxypentyl)-5-[(2,6-Dichlorobenzyl)Oxy]-1 H-Indole-2-Carboxylic Acid
DB02317	2476	Alpha-D-Galactose-1-Phosphate
DB02318	5983	2-Deoxy-2-Fluoro-Alpha-D-Mannosyl Fluoride
DB02319	2812	5,6-Dihydroxy-Nadp
DB02320	1152, 10	1-N-Acetyl-Beta-D-Glucosamine
DB02321	2725	5-(3-Amino-4,4-Dihyroxy-Butylsulfanylmethyl)-Tetrahydro-Furan-2,3,4-Triol
DB02322	1367	Heparin Disaccharide I-S
DB02323	217	EM-1745
DB02324	2559	5-Iodo-2'-Deoxyuridine-5'-Monophosphate
DB02326	2154	1-Hydroxyamine-2-Isobutylmalonic Acid
DB02327	2786, 4651, 4652	2-[2-(2-Hydroxy-Ethoxy)-Ethoxy]-Ethanol
DB02328	868	2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Imino]-5-Phosphono-Pent-3-Enoic Acid
DB02329	2831, 364	Carbenoxolone
DB02331	2694	(2s)-2-[(5-Benzofuran-2-Yl-Thiophen-2-Ylmethyl)-(2,4-Dichloro-Benzoyl)-Amino]-3-Phenyl-Propionic Acid
DB02332	2822	Flavin-N7 Protonated-Adenine Dinucleotide
DB02333	2780, 2555, 2712, 2410, 2490	Deoxyuridine-5'-Triphosphate
DB02334	2624	(R)-2-Hydroxy-3-Sulfopropanoic Acid
DB02335	291	2-Aminothiazoline
DB02336	933	RU83876
DB02337	941	S-(D-Carboxybutyl)-L-Homocysteine
DB02338	3610, 2630, 2675, 2826, 1302, 83	Nadph Dihydro-Nicotinamide-Adenine-Dinucleotidephosphate
DB02339	2828	Allyl-{6-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-Hexyl-}-Methyl-Amin
DB02340	6	N-Acetyl-Serine
DB02341	6260, 437	Mdl 101,146
DB02343	4654, 6299, 474	3,6,9,12,15-Pentaoxaheptadecane
DB02344	2765	O-Sialic Acid (Chair Conformation)
DB02345	7053, 5294, 2638, 2748	Selenocysteine
DB02346	2743	3'-O-N-Octanoyl-a-D-Glucopyranosyl-B-D-Fructofuranoside
DB02347	921	2-Amino-3-(5-Tert-Butyl-3-(Phosphonomethoxy)-4-Isoxazolyl)Propionic Acid
DB02348	1152	Fluoro-Phosphite Ion
DB02349		Nicotinamide-Adenine-Dinucleotide-5-Hydroxy-4-Oxonorvaline
DB02350	1926	N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide
DB02351	54	Hirulog
DB02352	1540, 3060	3-(Benzyloxy)Pyridin-2-Amine
DB02353	1367	Heparin Disaccharide Iii-S
DB02354	3176	4-{[1-Methyl-5-(2-Methyl-Benzoimidazol-1-Ylmethyl)-1h-Benzoimidazol-2-Ylmethyl]-Amino}-Benzamidine
DB02355	4655	Adenosine-5'-Rp-Alpha-Thio-Triphosphate
DB02356		4-Imidazolmethylene-5-Imidazolone Chromophore
DB02357		Methyl-O3-(Alpha-D-Mannose)-Alpha-D-Mannose
DB02358	679	LY374571
DB02359	1939	9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine
DB02360	1514	Bis-Napthyl Beta-Ketophosphonic Acid
DB02361	2802	S-Methyl Thiocysteine Group
DB02362	2809, 2769	4-Aminobenzoic Acid
DB02363	2636, 5682, 3682	2'-Monophosphoadenosine-5'-Diphosphate
DB02364	3686	2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid
DB02365	2618, 5754	1,10-Phenanthroline
DB02366	3176	CRA_10762
DB02367	1926	(1n)-4-N-Butoxyphenylsulfonyl-(2r)-N-Hydroxycarboxamido-(4s)-Methanesulfonylamino-Pyrrolidine
DB02368	2776	N-Acetyl-L-Citrulline
DB02369		3-Aza-2,3-Dihydrogeranyl Diphosphate
DB02370	2659	Nz-(1-Carboxyethyl)-Lysine
DB02371	2782	2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid
DB02372		2,5-Dimethylpyrimidin-4-Amine
DB02373	3075	Adenosine Monotungstate
DB02374	2448	Xylose-Derived Imidazole
DB02375	2404	Myricetin
DB02376	6847	D-Gluconhydroximo-1,5-Lactam
DB02377	4659, 277, 2837, 3681, 1673	Guanine
DB02378	1406	MMI-175
DB02379	1152, 2431, 1675, 2427, 4830, 4272, 4662, 4622, 4666, 4667, 4668, 4669, 4670, 4671, 3744, 3741, 7011, 2856, 3365, 3525, 7091, 3207, 3547, 3030, 3091, 3225, 7022, 3009, 3153, 3169, 874, 2948, 3747, 2430, 3793, 2252, 6614, 4811, 4513, 5176, 5553, 5554, 5046, 4692, 7002, 7102, 5559, 5560, 5561, 5562, 2541, 5247, 2523, 5498, 6977, 5563, 20, 1881, 5056, 2531, 5565, 2448, 4509, 2508, 5416, 2802, 5249, 1503, 2723, 6982, 2705, 5568, 6967, 2293, 5569, 2606, 5570, 2324, 5411, 2570, 2260, 2564, 2728, 2440, 2826, 2372, 10, 1875, 1184, 3668, 3678, 3689	Beta-D-Glucose
DB02380		2'-Deoxyinosine
DB02381	315	Nor-N-Omega-Hydroxy-L-Arginine
DB02382	2264, 2442	Namn
DB02383	822, 6861, 6862	Tolrestat
DB02384	2958	(E)-2-Fluoro-P-Hydroxycinnamate
DB02385		Neopterin
DB02386	6384, 2544	Leucine Phosphonic Acid
DB02387		3-Hydroxyphenylalanine
DB02388	1836	Cyclohexyl-{4-[5-(3,4-Dichlorophenyl)-2-Piperidin-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine
DB02390		5-Bromo-N[2-(Dimethylamino)Ethyl]-9-Aminoacridine-4-Carboxamide
DB02391	277	2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One
DB02393	1750	D-Gluco-2,5-Anhydro-1-Deoxy-1-Phosphonohexitol-6-Phosphate
DB02394	2293	Oxiranpseudoglucose
DB02395	2157	3-Hydroxymethyl-5-Aziridinyl-1methyl-2-[1h-Indole-4,7-Dione]-Propanol
DB02396	6977	Methylethylamine
DB02397		O-(2-Acetamido-2-Deoxy-Alpha-D-Galactopyranosyl)-L-Serine
DB02398	1074	6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine
DB02399	3422	L-Rhamnitol
DB02400	2157	5-Methoxy-1,2-Dimethyl-3-(4-Nitrophenoxymethyl)Indole-4,7-Dione
DB02401	2641, 77	4-Hydroxy-1,2,5-Oxadiazole-3-Carboxylic Acid
DB02402	2381, 6504	5-(4-Methoxyphenoxy)-2,4-Quinazolinediamine
DB02403	2300	2-Fluoroaniline
DB02404	474	1-Deoxy-1-Thio-Heptaethylene Glycol
DB02405	6459	12-Bromododecanoic Acid
DB02406	4674	N-Valeric Acid
DB02407	2240, 6235	6-O-Cyclohexylmethyl Guanine
DB02408	2416, 6693	(3s)-3-Amino-1-(Cyclopropylamino)Heptane-2,2-Diol
DB02409		(1r,4s)-2-Azabornane
DB02410	4562	2-Acetyl-3-[(4-Amino-2-Methyl-5-Pyrimidinyl)Methyl]-4-Methyl-5-(4,6,6-Trihydroxy-3,5-Dioxa-4,6-Diphosphahex-1-Yl)Thiazolium Inner Salt P,P'-Dioxide
DB02411	864	2-(11-{2-[Benzenesulfonyl-(3-Methyl-Butyl)-Amino]-1-Hydroxy-Ethyl}-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-8-Yl)-Acetamide, Inhibitor 2
DB02412		Tetrahydropyran
DB02413	3471	Hydroxyethylcysteine
DB02414	2887	(3s,8ar)-3-(1h-Imidazol-5-Ylmethyl)Hexahydropyrrolo[1,2-a]Pyrazine-1,4-Dione
DB02415	2427, 6678, 6443	N-Octyl-2-Hydroxyethyl Sulfoxide
DB02416		2-Ribofuranosyl-3-Iodo-2,3-Dihydro-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine
DB02417		2,4,6-Tribromophenol
DB02418	7040	(R,R)-2,3-Butanediol
DB02419	1524	Ethyl Oxo(Piperidin-1-Yl)Acetate
DB02420	687	[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,
DB02421	3461	Uridine-5'-Diphosphate-Mannose
DB02422	2577	Methyl-2-S-(Alpha-D-Mannopyranosyl)-2-Thio-Alpha-D-Mannopyranoside
DB02423		Thiopyrophosphate
DB02424	3456, 1939	Geldanamycin
DB02425	4675	Hexadecyl Octanoate
DB02426	661	Carboxyatractyloside
DB02427	2833, 365	2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline
DB02428	3165	Quinaldic Acid
DB02429	357	4-(Aminosulfonyl)-N-[(4-Fluorophenyl)Methyl]-Benzamide
DB02430	3402	Trehalose-6-Phosphate
DB02431	4676, 4677, 3344, 2991, 3019, 2765, 2697, 3692	Cytidine-5'-Triphosphate
DB02432	933	RU90395
DB02433	2542, 2310	{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid
DB02434	2537	4-(2-Thienyl)Butyric Acid
DB02435	2367, 3176	Aminomethylcyclohexane
DB02436	687	2-{4-[(2s)-2-[({[(1s)-1-Carboxy-2-Phenylethyl]Amino}Carbonyl)Amino]-3-Oxo-3-(Pentylamino)Propyl]Phenoxy}Malonic Acid
DB02437	3281, 2796, 137	(5r)-5-Amino-6-Hydroxyhexylcarbamic Acid
DB02438	2431	3-O-Methylfructose in Linear Form
DB02440	3428, 3382, 6263	N-Octane
DB02441	2561	2-Butyl-5,6-Dihydro-1h-Imidazo[4,5-D]Pyridazine-4,7-Dione
DB02442	2517	Dioxyselenocysteine
DB02443	3466	Methicillin Acyl-Serine
DB02445	2856, 2949, 2597	2-Deoxy-2-Amino Glucitol-6-Phosphate
DB02446	2597	Glutamine Hydroxamate
DB02447	1152	3,8,9,10-Tetrahydroxy-7-Hydroxymethyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione
DB02448	2981, 6500, 6270	N-Tridecanoic Acid
DB02449	1926	3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid
DB02450	2840, 6383	2-Benzo[1,3]Dioxol-5-Ylmethyl-3-Benzyl-Succinic Acid
DB02452	4277, 3481, 3299, 3478, 7149, 3430, 3244, 2320, 2633, 2251	Thymidine-5'-Triphosphate
DB02453	3435	Trihydroxyantimonite(Iii)
DB02454		5-(6-Amino-9h-Purin-9-Yl)-4-Hydroxytetrahydrofuran-3-Yl Dihydrogen Phosphate
DB02455		Fluoresceinylthioureido
DB02456	2909	Cytosine Arabinose-5'-Phosphate
DB02457	6116	Undecyl-Phosphinic Acid Butyl Ester
DB02458	896, 2165	Glutathione S-(2,4 Dinitrobenzene)
DB02459	3095	4-Guanidinobenzoic Acid
DB02460	3305	Hydrogenobyrinic Acid
DB02461	3695	S-Methyl Phosphocysteine
DB02462	7	Thiocoumarin
DB02463	3176	2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine
DB02464	7039, 3176	Benzylamine
DB02465	3937	Methoxy arachidonyl fluorophosphonate
DB02466	162	4-[3-Oxo-3-(5,5,8,8-Tetramethyl-5,6,7,8-Tetrahydro-Naphthalen-2-Yl)-Propenyl]-Benzoic Acid
DB02467	4272, 7043, 3747, 4680, 4681, 2626	S-Oxymethionine
DB02468	810	12-Phenylheme
DB02469	2293	4,6-Dideoxy-4-Amino-Beta-D-Glucopyranoside
DB02470	3439	D-Glycero-D-Mannopyranose-7-Phosphate
DB02471	6847, 1152, 6614	Nojirimycine Tetrazole
DB02472	3957	6-Hydroxy-7,8-Dihydro Purine Nucleoside
DB02473	1074	6-[N-(1-Isopropyl-3,4-Dihydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine
DB02474	2723	Bmsc-0013
DB02475	2885, 2400	Deoxyguanidinoproclavaminic acid
DB02477	2731	[Cyclohexylethyl]-[[[[4-[2-Methyl-1-Imidazolyl-Butyl]Phenyl]Acetyl]-Seryl]-Lysinyl]-Amine
DB02479	357	(R)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide
DB02480	2586	(S)-4-Bromo-3-Hydroxy-3-Methylbutyl Diphosphate
DB02481	444	N-Benzylformamide
DB02482	2207, 6263, 6985, 3482, 3005, 4750, 4751, 2530, 1422, 1176	Phosphonothreonine
DB02483	473, 2290	Etheno-Nad
DB02484	2991	Cytidine 5'-Diphosphoglycerol
DB02485	7074	Cytidine-5'-Monophosphate-5-N-Acetylneuraminic Acid
DB02486	4031, 2300	2-Hydroxyethyl Disulfide
DB02488		1-(2-Ethanone)-2-Hydroxy-2-(1-Amino-2-Methyl-2-Ethanol)-4-(2-Dimethyl)Ethane-Imidazoline-5-One;Chromophore (Thr-Leu-Gly)
DB02489	2360	9-Methylguanine
DB02490	788	(Diaminomethyl-Methyl-Amino)-Acetic Acid
DB02491	823	4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine
DB02492	5983	Ghavamiol
DB02493	2632	Hydantocidin-5'-Phosphate
DB02494	6616, 6231, 6325, 6326, 6327, 6328, 6329, 6330, 6331, 6332, 6333, 6334, 6335, 6336, 6337, 6255	Alpha-Hydroxy-Beta-Phenyl-Propionic Acid
DB02495	2559	9-(4-Hydroxybutyl)-N2-Phenylguanine
DB02496	2869, 2803	1-Deoxy-D-Xylulose-5-Phosphate
DB02497	6654	L-Alpha-Glycerophosphorylserine
DB02498	3126	Carba-Nicotinamide-Adenine-Dinucleotide
DB02499	315	Dinor-N(Omega)-Hydroxy-L-Arginine
DB02500	2559	6-(Dihydroxy-Isobutyl)-Thymine
DB02501	3406	N~2~-Succinylarginine
DB02502		8-Hydroxy-2'-Deoxyguanosine
DB02503	2478	4-(Carboxyvin-2-Yl)Phenylboronic Acid
DB02504	2981	[3-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Propyl-]-Phosphonic Acid
DB02505	3086	N-(R-Carboxy-Ethyl)-Alpha-(S)-(2-Phenylethyl)
DB02506	6312, 6251, 4078, 6250, 6313	2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid
DB02507	4757	4-Hydroxy-3-[(1s)-3-Oxo-1-Phenylbutyl]-2h-Chromen-2-One
DB02508	2756, 853, 4284, 6647	Isopentyl Pyrophosphate
DB02509	3939	Farnesol
DB02510	210	'5'-O-(N-(L-Prolyl)-Sulfamoyl)Adenosine
DB02511	3330	2-Hydroxy-5-({1-[(2-Naphthyloxy)Methyl]-3-Oxoprop-1-Enyl}Amino)Tyrosine
DB02512	3069, 7075	1,6-Fructose Diphosphate (Linear Form)
DB02513		5-Methyl-2-(1-Methylethyl)Phenol
DB02514	2461	(2z)-3-{[Oxido(Oxo)Phosphino]Oxy}-2-Phenylacrylate
DB02515	1750, 7075, 2803, 2314	3-Phosphoglycerol
DB02516	3024	O5'-(4-(3-{2-[2-((R)-3-Hydroxy-4-(Trimethylammonio)-1-Oxo-Butyl)Sulfanyl-Ethylcarbamoyl]-Ethylcarbamoyl}-(R)-3-Hydroxy-2,2-Dimethyl-Propyl)-1-Hydroxy-3-Oxido-1,3-Dioxo-2,4-Dioxa-1,3-Diphosphabut-1-Yl) 3'-Phospho-Adenosine
DB02517	2457	D-Glutamic Acid
DB02518	822	N-Acetylalanine
DB02519	1152, 3321	Indirubin-5-Sulphonate
DB02520		Diethylcarbamodithioic Acid
DB02521	4608, 6540	2,5,7-Trihydroxynaphthoquinone
DB02522	3450	Phosphonopyruvate
DB02523		5'-[[2-(Aminooxy)Ethyl]Methylsulfonio]-5'-Deoxy-Adenosine
DB02524	2615	Spiro(2,4,6-Trinitrobenzene[1,2a]-2o',3o'-Methylene-Adenine-Triphosphate
DB02525		D-Galactohydroximo-1,5-Lactam
DB02526	3176, 1074	CRA_10655
DB02527	7141, 5849, 7007, 4759, 4760, 3685	Cyclic Adenosine Monophosphate
DB02528	6977	Tetrazolyl Histidine
DB02529	3026	5-N-Acetyl-4-Amino-6-Diethylcarboxamide-4,5-Dihydro-2h-Pyran-2-Carboxylic Acid
DB02530	383	Gamma(Amino)-Butyric Acid
DB02531	4674	Isobutyric Acid
DB02532	2675, 6486	2,4,6-Triaminoquinazoline
DB02533	7	Aminoguanidine
DB02534	2300	2-Allylphenol
DB02535	357	Aminodi(Ethyloxy)Ethylaminocarbonylbenzenesulfonamide
DB02536		(2r)-2,3-Dihydroxypropanal
DB02537	3330	2-Hydroxy-5-({1-[(4-Methylphenoxy)Methyl]-3-Oxoprop-1-Enyl}Amino)-L-Tyrosine
DB02538	2240	N-[4-(2-Methylimidazo[1,2-a]Pyridin-3-Yl)-2-Pyrimidinyl]Acetamide
DB02539	7	S-Ethylisothiourea
DB02540	2689	(10S)-10-Formyl-5,8,10-Trideazafolic Acid
DB02541	2886	4-Hydroxybutan-1-Aminium
DB02542	7070	(4s)-5-Fluoro-L-Leucine
DB02543	2380	Pyrrole-2-Carboxylate
DB02544	2828	N-(6-{[3-(4-Bromophenyl)-1,2-Benzisothiazol-6-Yl]Oxy}Hexyl)-N-Methylprop-2-En-1-Amine
DB02545	3233	Fexaramine
DB02546	4121, 4122, 4123, 4124, 2921, 4762	Vorinostat
DB02547	5619	Guanosine-5'-Diphosphate-Rhamnose
DB02548	2206	Sorbitol 6-phosphate
DB02549	3028	3'-O-Acetylthymidine-5'-Diphosphate
DB02550	1939	8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-2-Fluoro-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine
DB02551	1074	6-[N-(4-Ethyl-1,2,3,4-Tetrahydro-6-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine
DB02552	2383, 3188, 6609, 853, 6540, 6058, 6596, 6610	Geranyl Diphosphate
DB02553	714	Glutathionylspermidine Disulfide
DB02554		Sulfoquinovose-Uridine-C1,5'-Diphosphate
DB02555	1575	SP4160
DB02556	301, 1566	D-Phenylalanine
DB02557	294	Phosphoramidon
DB02558	294	N-(3-Phenyl-2-Sulfanylpropanoyl)Phenylalanylalanine
DB02559	365, 2833	6-(Octahydro-1h-Indol-1-Ylmethyl)Decahydroquinazoline-2,4-Diamine
DB02560	2548	D-Para-Chlorophenyl-1-Acteamidoboronic Acid Alanine
DB02561	4666	Beta-D-Fructopyranose
DB02562	828	Quinonoid 7,8-Tetrahydrobiopterin
DB02563	7010	Hexanoyl-Coenzyme A
DB02565	2921	4-Dimethylamino-N-(6-Hydroxycarbamoyethyl)Benzamide-N-Hydroxy-7-(4-Dimethyla Minobenzoyl)Aminoheptanamide
DB02566	6834, 6835	8-Hydroxy-4-(1-Hydroxyethyl)Quinoline-2-Carboxylic Acid
DB02567	3462	PD173955
DB02568	277	Peldesine
DB02569	5294	2',3'-Dehydro-2',3'-Deoxy-Thymidine 5'-Diphosphate
DB02570	6648	PD150606
DB02571	2988	2-Amino-6-Oxo-Hexanoic Acid
DB02572	2723	BV4
